domain,severity,private_comment,public_comment
bae.st,suspend,https://joinfediverse.wiki/FediBlock,"Facism, harassment"
baraag.net,suspend,taken from fediblock.org,"lolicon, child porn"
brighteon.social,suspend,taken from fediblock.org,"fascism, conspiracism"
cawfee.club,suspend,taken from fediblock.org,Racism
chudbuds.lol,suspend,https://joinfediverse.wiki/FediBlock,"Gore, racism, HomoPhobia, TransPhobia, AntiSemitism"
cum.salon,suspend,taken from a.rathersafe.space,"HomoMisia, racism, suicide-proposal"
detroitriotcity.com,suspend,taken from a.rathersafe.space,"Racism, HomoMisia"
freeatlantis.com,suspend,taken from a.rathersafe.space,"Trumpism, Ultra-MAGA"
freecumextremist.com,suspend,taken from a.rathersafe.space,Rape
freespeechextremist.com,suspend,taken from fediblock.org,"Racism, HomoMisia, harassment"
gameliberty.club,suspend,taken from fediblock.org,"Racism, lolicon"
gleasonator.com,suspend,taken from fediblock.org,"Racism, Anti Semitism, TransMisia"
iddqd.social,suspend,taken from fediblock.org,"TransMisia, racism, AntiSemitism, conspiracism"
nicecrew.digital,suspend,taken from a.rathersafe.space,racism
noagendasocial.com,suspend,taken from a.rathersafe.space,"AntiSemitism, racism"
pawoo.net,suspend,taken from fediblock.org,national socialism
pieville.net,suspend,taken from a.rathersafe.space,"anti semitism, national socialism, racism, ableism, HomoMisia"
poa.st,suspend,taken from fediblock.org,"Racism, HomoMisia, violence, conspiracism"
rdrama.cc,suspend,taken from a.rathersafe.space,Racism
ryona.agency,suspend,taken from a.rathersafe.space,"Racism, anti semitism, misogyny, TransMisia"
shitposter.club,suspend,taken from fediblock.org,Racism
spinster.xyz,suspend,taken from fediblock.org,"TransMisia, TERFism"
wiki-tube.de,suspend,taken from fediblock.org,"AntiSemitism, conspiracism, covid denial"
yggdrasil.social,suspend,taken from a.rathersafe.space,"national socialism, racism, TransMisia"
